Pad,Signal,X (um),Y (um)
T1,NET1,-3411.638,2427.792
T2,NET2,-3289.794,2427.792
T3,NET3,-3167.950,2427.792
T4,NET4,-3046.105,2427.792
T5,NET5,-2924.261,2427.792
T6,NET6,-2802.417,2427.792
T7,NET7,-2680.573,2427.792
T8,NET8,-2558.729,2427.792
T9,NET9,-2436.884,2427.792
T10,NET10,-2315.040,2427.792
T11,NET11,-2193.196,2427.792
T12,NET12,-2071.352,2427.792
T13,NET13,-1949.508,2427.792
T14,NET14,-1827.663,2427.792
T15,NET15,-1705.819,2427.792
T16,NET16,-1583.975,2427.792
T17,NET17,-1462.131,2427.792
T18,NET18,-1340.286,2427.792
T19,NET19,-1218.442,2427.792
T20,NET20,-1096.598,2427.792
T21,NET21,-974.754,2427.792
T22,NET22,-852.910,2427.792
T23,NET23,-731.065,2427.792
T24,NET24,-609.221,2427.792
T25,NET25,-487.377,2427.792
T26,NET26,-365.533,2427.792
T27,NET27,-243.688,2427.792
T28,NET28,-121.844,2427.792
T29,NET29,0.000,2427.792
T30,NET30,121.844,2427.792
T31,NET31,243.688,2427.792
T32,NET32,365.533,2427.792
T33,NET33,487.377,2427.792
T34,NET34,609.221,2427.792
T35,NET35,731.065,2427.792
T36,NET36,852.910,2427.792
T37,NET37,974.754,2427.792
T38,NET38,1096.598,2427.792
T39,NET39,1218.442,2427.792
T40,NET40,1340.286,2427.792
T41,NET41,1462.131,2427.792
T42,NET42,1583.975,2427.792
T43,NET43,1705.819,2427.792
T44,NET44,1827.663,2427.792
T45,NET45,1949.508,2427.792
T46,NET46,2071.352,2427.792
T47,NET47,2193.196,2427.792
T48,NET48,2315.040,2427.792
T49,NET49,2436.884,2427.792
T50,NET50,2558.729,2427.792
T51,NET51,2680.573,2427.792
T52,NET52,2802.417,2427.792
T53,NET53,2924.261,2427.792
T54,NET54,3046.105,2427.792
T55,NET55,3167.950,2427.792
T56,NET56,3289.794,2427.792
T57,NET57,3411.638,2427.792
B1,NET58,-3411.638,-2427.792
B2,NET59,-3289.794,-2427.792
B3,NET60,-3167.950,-2427.792
B4,NET61,-3046.105,-2427.792
B5,NET62,-2924.261,-2427.792
B6,NET63,-2802.417,-2427.792
B7,NET64,-2680.573,-2427.792
B8,NET65,-2558.729,-2427.792
B9,NET66,-2436.884,-2427.792
B10,NET67,-2315.040,-2427.792
B11,NET68,-2193.196,-2427.792
B12,NET69,-2071.352,-2427.792
B13,NET70,-1949.508,-2427.792
B14,NET71,-1827.663,-2427.792
B15,NET72,-1705.819,-2427.792
B16,NET73,-1583.975,-2427.792
B17,NET74,-1462.131,-2427.792
B18,NET75,-1340.286,-2427.792
B19,NET76,-1218.442,-2427.792
B20,NET77,-1096.598,-2427.792
B21,NET78,-974.754,-2427.792
B22,NET79,-852.910,-2427.792
B23,NET80,-731.065,-2427.792
B24,NET81,-609.221,-2427.792
B25,NET82,-487.377,-2427.792
B26,NET83,-365.533,-2427.792
B27,NET84,-243.688,-2427.792
B28,NET85,-121.844,-2427.792
B29,NET86,0.000,-2427.792
B30,NET87,121.844,-2427.792
B31,NET88,243.688,-2427.792
B32,NET89,365.533,-2427.792
B33,NET90,487.377,-2427.792
B34,NET91,609.221,-2427.792
B35,NET92,731.065,-2427.792
B36,NET93,852.910,-2427.792
B37,NET94,974.754,-2427.792
B38,NET95,1096.598,-2427.792
B39,NET96,1218.442,-2427.792
B40,NET97,1340.286,-2427.792
B41,NET98,1462.131,-2427.792
B42,NET99,1583.975,-2427.792
B43,NET100,1705.819,-2427.792
B44,NET101,1827.663,-2427.792
B45,NET102,1949.508,-2427.792
B46,NET103,2071.352,-2427.792
B47,NET104,2193.196,-2427.792
B48,NET105,2315.040,-2427.792
B49,NET106,2436.884,-2427.792
B50,NET107,2558.729,-2427.792
B51,NET108,2680.573,-2427.792
B52,NET109,2802.417,-2427.792
B53,NET110,2924.261,-2427.792
B54,NET111,3046.105,-2427.792
B55,NET112,3167.950,-2427.792
B56,NET113,3289.794,-2427.792
B57,NET114,3411.638,-2427.792
L1,NET115,-3935.365,-2152.682
L2,NET116,-3935.365,-2075.801
L3,NET117,-3935.365,-1998.919
L4,NET118,-3935.365,-1922.038
L5,NET119,-3935.365,-1845.156
L6,NET120,-3935.365,-1768.275
L7,NET121,-3935.365,-1691.393
L8,NET122,-3935.365,-1614.512
L9,NET123,-3935.365,-1537.630
L10,NET124,-3935.365,-1460.749
L11,NET125,-3935.365,-1383.867
L12,NET126,-3935.365,-1306.986
L13,NET127,-3935.365,-1230.104
L14,NET128,-3935.365,-1153.223
L15,NET129,-3935.365,-1076.341
L16,NET130,-3935.365,-999.460
L17,NET131,-3935.365,-922.578
L18,NET132,-3935.365,-845.697
L19,NET133,-3935.365,-768.815
L20,NET134,-3935.365,-691.934
L21,NET135,-3935.365,-615.052
L22,NET136,-3935.365,-538.171
L23,NET137,-3935.365,-461.289
L24,NET138,-3935.365,-384.408
L25,NET139,-3935.365,-307.526
L26,NET140,-3935.365,-230.645
L27,NET141,-3935.365,-153.763
L28,NET142,-3935.365,-76.882
L29,NET143,-3935.365,0.000
L30,NET144,-3935.365,76.882
L31,NET145,-3935.365,153.763
L32,NET146,-3935.365,230.645
L33,NET147,-3935.365,307.526
L34,NET148,-3935.365,384.408
L35,NET149,-3935.365,461.289
L36,NET150,-3935.365,538.171
L37,NET151,-3935.365,615.052
L38,NET152,-3935.365,691.934
L39,NET153,-3935.365,768.815
L40,NET154,-3935.365,845.697
L41,NET155,-3935.365,922.578
L42,NET156,-3935.365,999.460
L43,NET157,-3935.365,1076.341
L44,NET158,-3935.365,1153.223
L45,NET159,-3935.365,1230.104
L46,NET160,-3935.365,1306.986
L47,NET161,-3935.365,1383.867
L48,NET162,-3935.365,1460.749
L49,NET163,-3935.365,1537.630
L50,NET164,-3935.365,1614.512
L51,NET165,-3935.365,1691.393
L52,NET166,-3935.365,1768.275
L53,NET167,-3935.365,1845.156
L54,NET168,-3935.365,1922.038
L55,NET169,-3935.365,1998.919
L56,NET170,-3935.365,2075.801
L57,NET171,-3935.365,2152.682
R1,NET172,3935.365,-2152.682
